Title,Price,Stars,Reviews,Link 
Asus VivoBook X4..., $295.99, 3, 14 reviews, /test-sites/e-commerce/allinone/product/545 
Prestigio SmartB..., $299.00, 2, 8 reviews, /test-sites/e-commerce/allinone/product/546 
Prestigio SmartB..., $299.00, 4, 12 reviews, /test-sites/e-commerce/allinone/product/547 
Aspire E1-510, $306.99, 3, 2 reviews, /test-sites/e-commerce/allinone/product/517 
Lenovo V110-15IA..., $321.94, 3, 5 reviews, /test-sites/e-commerce/allinone/product/548 
Lenovo V110-15IA..., $356.49, 2, 6 reviews, /test-sites/e-commerce/allinone/product/549 
Hewlett Packard..., $364.46, 1, 12 reviews, /test-sites/e-commerce/allinone/product/550 
Acer Aspire 3 A3..., $372.70, 2, 2 reviews, /test-sites/e-commerce/allinone/product/551 
Acer Aspire A315..., $379.94, 2, 0 reviews, /test-sites/e-commerce/allinone/product/552 
Acer Aspire ES1-..., $379.95, 4, 9 reviews, /test-sites/e-commerce/allinone/product/553 
Acer Aspire 3 A3..., $391.48, 4, 10 reviews, /test-sites/e-commerce/allinone/product/554 
Acer Aspire 3 A3..., $393.88, 3, 9 reviews, /test-sites/e-commerce/allinone/product/555 
Asus VivoBook Ma..., $399.00, 1, 4 reviews, /test-sites/e-commerce/allinone/product/530 
Asus VivoBook E5..., $399.99, 4, 3 reviews, /test-sites/e-commerce/allinone/product/556 
Lenovo ThinkPad..., $404.23, 1, 12 reviews, /test-sites/e-commerce/allinone/product/557 
Acer Aspire 3 A3..., $408.98, 4, 10 reviews, /test-sites/e-commerce/allinone/product/558 
Lenovo V110-15IS..., $409.63, 3, 9 reviews, /test-sites/e-commerce/allinone/product/559 
Acer Aspire ES1-..., $410.46, 4, 14 reviews, /test-sites/e-commerce/allinone/product/560 
Asus VivoBook 15..., $410.66, 4, 4 reviews, /test-sites/e-commerce/allinone/product/561 
Packard 255 G2, $416.99, 2, 2 reviews, /test-sites/e-commerce/allinone/product/516 
Asus EeeBook R41..., $433.30, 1, 1 reviews, /test-sites/e-commerce/allinone/product/562 
Acer Aspire 3 A3..., $436.29, 1, 1 reviews, /test-sites/e-commerce/allinone/product/563 
Acer Aspire ES1-..., $436.29, 1, 2 reviews, /test-sites/e-commerce/allinone/product/564 
Acer Extensa 15..., $439.73, 4, 6 reviews, /test-sites/e-commerce/allinone/product/565 
Acer Aspire ES1-..., $454.62, 1, 9 reviews, /test-sites/e-commerce/allinone/product/566 
Lenovo V110-15IS..., $454.73, 2, 2 reviews, /test-sites/e-commerce/allinone/product/567 
Acer Aspire A315..., $457.38, 3, 9 reviews, /test-sites/e-commerce/allinone/product/568 
Lenovo V110-15IK..., $465.95, 1, 7 reviews, /test-sites/e-commerce/allinone/product/569 
Asus VivoBook 15..., $468.56, 3, 1 reviews, /test-sites/e-commerce/allinone/product/570 
Acer Aspire ES1-..., $469.10, 3, 5 reviews, /test-sites/e-commerce/allinone/product/571 
Lenovo V510 Blac..., $484.23, 3, 8 reviews, /test-sites/e-commerce/allinone/product/572 
Acer Aspire ES1-..., $485.90, 3, 6 reviews, /test-sites/e-commerce/allinone/product/573 
Lenovo V510 Blac..., $487.80, 2, 9 reviews, /test-sites/e-commerce/allinone/product/574 
Acer Swift 1 SF1..., $488.64, 3, 4 reviews, /test-sites/e-commerce/allinone/product/575 
Dell Vostro 15, $488.78, 4, 14 reviews, /test-sites/e-commerce/allinone/product/531 
Acer Aspire 3 A3..., $494.71, 4, 2 reviews, /test-sites/e-commerce/allinone/product/576 
Dell Vostro 15 (..., $497.17, 1, 9 reviews, /test-sites/e-commerce/allinone/product/577 
Lenovo V510 Blac..., $498.23, 3, 5 reviews, /test-sites/e-commerce/allinone/product/578 
HP 250 G3, $520.99, 2, 13 reviews, /test-sites/e-commerce/allinone/product/527 
Acer Spin 5, $564.98, 2, 0 reviews, /test-sites/e-commerce/allinone/product/532 
HP 350 G1, $577.99, 2, 10 reviews, /test-sites/e-commerce/allinone/product/529 
Aspire E1-572G, $581.99, 1, 2 reviews, /test-sites/e-commerce/allinone/product/521 
Pavilion, $609.99, 1, 4 reviews, /test-sites/e-commerce/allinone/product/523 
Acer Aspire A515..., $679.00, 2, 9 reviews, /test-sites/e-commerce/allinone/product/533 
Dell Inspiron 15, $679.00, 2, 7 reviews, /test-sites/e-commerce/allinone/product/534 
Asus VivoBook S1..., $729.00, 1, 2 reviews, /test-sites/e-commerce/allinone/product/535 
ProBook, $739.99, 4, 8 reviews, /test-sites/e-commerce/allinone/product/519 
Inspiron 15, $745.99, 3, 12 reviews, /test-sites/e-commerce/allinone/product/524 
Asus ROG STRIX G..., $799.00, 2, 7 reviews, /test-sites/e-commerce/allinone/product/536 
Acer Nitro 5 AN5..., $809.00, 1, 0 reviews, /test-sites/e-commerce/allinone/product/537 
Asus ROG STRIX G..., $899.00, 1, 7 reviews, /test-sites/e-commerce/allinone/product/538 
Lenovo ThinkPad..., $999.00, 3, 11 reviews, /test-sites/e-commerce/allinone/product/539 
ThinkPad Yoga, $1033.99, 2, 13 reviews, /test-sites/e-commerce/allinone/product/522 
Lenovo ThinkPad..., $1096.02, 4, 14 reviews, /test-sites/e-commerce/allinone/product/579 
Dell Inspiron 15..., $1098.42, 1, 7 reviews, /test-sites/e-commerce/allinone/product/580 
MSI GL72M 7RDX, $1099.00, 4, 1 reviews, /test-sites/e-commerce/allinone/product/581 
MSI GL72M 7RDX, $1099.00, 1, 9 reviews, /test-sites/e-commerce/allinone/product/582 
Asus ROG Strix G..., $1101.83, 2, 4 reviews, /test-sites/e-commerce/allinone/product/583 
Dell Latitude 52..., $1102.66, 1, 8 reviews, /test-sites/e-commerce/allinone/product/584 
Dell Latitude 54..., $1110.14, 3, 4 reviews, /test-sites/e-commerce/allinone/product/585 
Lenovo Legion Y5..., $1112.91, 4, 1 reviews, /test-sites/e-commerce/allinone/product/586 
Toshiba Portege..., $1114.55, 1, 0 reviews, /test-sites/e-commerce/allinone/product/587 
Acer Predator He..., $1123.87, 2, 1 reviews, /test-sites/e-commerce/allinone/product/588 
Acer Aspire 7 A7..., $1123.87, 2, 4 reviews, /test-sites/e-commerce/allinone/product/589 
Dell Inspiron 17..., $1124.20, 3, 10 reviews, /test-sites/e-commerce/allinone/product/590 
Dell Latitude 54..., $1133.82, 4, 14 reviews, /test-sites/e-commerce/allinone/product/591 
Lenovo Legion Y5..., $1133.91, 1, 13 reviews, /test-sites/e-commerce/allinone/product/592 
Asus AsusPro Adv..., $1139.54, 3, 7 reviews, /test-sites/e-commerce/allinone/product/593 
Acer Nitro 5 AN5..., $1140.62, 3, 14 reviews, /test-sites/e-commerce/allinone/product/594 
Dell Latitude 54..., $1143.40, 4, 5 reviews, /test-sites/e-commerce/allinone/product/595 
Dell Inspiron 15..., $1144.20, 1, 2 reviews, /test-sites/e-commerce/allinone/product/596 
Dell Latitude 55..., $1144.40, 3, 10 reviews, /test-sites/e-commerce/allinone/product/597 
Lenovo Legion Y5..., $1149.00, 3, 11 reviews, /test-sites/e-commerce/allinone/product/540 
MSI GP62M 7RDX L..., $1149.00, 1, 11 reviews, /test-sites/e-commerce/allinone/product/598 
Lenovo Yoga 720..., $1149.73, 2, 12 reviews, /test-sites/e-commerce/allinone/product/599 
Toshiba Portege..., $1154.04, 1, 7 reviews, /test-sites/e-commerce/allinone/product/600 
Acer TravelMate..., $1170.10, 1, 0 reviews, /test-sites/e-commerce/allinone/product/601 
Dell Latitude 55..., $1178.19, 3, 6 reviews, /test-sites/e-commerce/allinone/product/602 
ThinkPad T540p, $1178.99, 1, 2 reviews, /test-sites/e-commerce/allinone/product/518 
MSI GS63 7RD Ste..., $1179.00, 1, 2 reviews, /test-sites/e-commerce/allinone/product/603 
Dell Latitude 54..., $1187.88, 3, 5 reviews, /test-sites/e-commerce/allinone/product/604 
Acer Predator He..., $1187.98, 3, 14 reviews, /test-sites/e-commerce/allinone/product/605 
MSI GL62M 7REX, $1199.00, 1, 7 reviews, /test-sites/e-commerce/allinone/product/606 
MSI GL62M 7REX2, $1199.00, 2, 12 reviews, /test-sites/e-commerce/allinone/product/607 
Lenovo Yoga 910..., $1199.73, 3, 7 reviews, /test-sites/e-commerce/allinone/product/608 
Toshiba Portege..., $1203.41, 4, 13 reviews, /test-sites/e-commerce/allinone/product/609 
Lenovo IdeaPad M..., $1212.16, 4, 0 reviews, /test-sites/e-commerce/allinone/product/610 
Acer Predator He..., $1221.58, 1, 9 reviews, /test-sites/e-commerce/allinone/product/611 
ThinkPad Yoga, $1223.99, 3, 2 reviews, /test-sites/e-commerce/allinone/product/528 
Asus VivoBook Pr..., $1235.49, 2, 10 reviews, /test-sites/e-commerce/allinone/product/612 
Dell Latitude 54..., $1238.37, 2, 0 reviews, /test-sites/e-commerce/allinone/product/613 
Asus ZenBook UX5..., $1239.20, 1, 14 reviews, /test-sites/e-commerce/allinone/product/614 
ThinkPad X230, $1244.99, 3, 10 reviews, /test-sites/e-commerce/allinone/product/526 
Asus ROG Strix G..., $1259.00, 4, 7 reviews, /test-sites/e-commerce/allinone/product/615 
Apple MacBook Ai..., $1260.13, 4, 8 reviews, /test-sites/e-commerce/allinone/product/616 
Dell Latitude 54..., $1271.06, 1, 13 reviews, /test-sites/e-commerce/allinone/product/617 
Hewlett Packard..., $1273.11, 3, 8 reviews, /test-sites/e-commerce/allinone/product/618 
Dell XPS 13, $1281.99, 3, 4 reviews, /test-sites/e-commerce/allinone/product/525 
Toshiba Portege..., $1294.74, 1, 6 reviews, /test-sites/e-commerce/allinone/product/619 
MSI GL62VR 7RFX, $1299.00, 3, 1 reviews, /test-sites/e-commerce/allinone/product/620 
Dell Latitude 54..., $1310.39, 3, 8 reviews, /test-sites/e-commerce/allinone/product/621 
ThinkPad X240, $1311.99, 3, 12 reviews, /test-sites/e-commerce/allinone/product/520 
Hewlett Packard..., $1326.83, 1, 2 reviews, /test-sites/e-commerce/allinone/product/622 
Apple MacBook Pr..., $1333.00, 1, 0 reviews, /test-sites/e-commerce/allinone/product/623 
Dell Latitude 55..., $1337.28, 1, 6 reviews, /test-sites/e-commerce/allinone/product/624 
Dell Latitude 54..., $1338.37, 2, 11 reviews, /test-sites/e-commerce/allinone/product/625 
Dell Latitude 55..., $1341.22, 3, 3 reviews, /test-sites/e-commerce/allinone/product/626 
Apple MacBook Ai..., $1347.78, 2, 11 reviews, /test-sites/e-commerce/allinone/product/627 
Lenovo ThinkPad..., $1349.23, 1, 5 reviews, /test-sites/e-commerce/allinone/product/628 
Lenovo ThinkPad..., $1362.24, 2, 12 reviews, /test-sites/e-commerce/allinone/product/629 
Toshiba Portege..., $1366.32, 1, 11 reviews, /test-sites/e-commerce/allinone/product/630 
Asus ASUSPRO B94..., $1381.13, 1, 4 reviews, /test-sites/e-commerce/allinone/product/631 
Lenovo Legion Y7..., $1399.00, 3, 8 reviews, /test-sites/e-commerce/allinone/product/541 
Asus ROG Strix G..., $1399.00, 3, 10 reviews, /test-sites/e-commerce/allinone/product/632 
Asus ROG Strix G..., $1769.00, 4, 7 reviews, /test-sites/e-commerce/allinone/product/542 
Asus ROG Strix G..., $1769.00, 1, 8 reviews, /test-sites/e-commerce/allinone/product/543 
Asus ROG Strix S..., $1799.00, 3, 8 reviews, /test-sites/e-commerce/allinone/product/544 
